# Time	MagPro_XP	MagPro_XP_fit
-2.000000000000000164e-05	-1.231957719314782755e-03	0.000000000000000000e+00
-1.990000000000000259e-05	-1.278979006600070717e-03	0.000000000000000000e+00
-1.980000000000000355e-05	-1.326000293885358679e-03	0.000000000000000000e+00
-1.970000000000000451e-05	-1.331959283178846005e-03	0.000000000000000000e+00
-1.960000000000000547e-05	-1.321197139439395877e-03	0.000000000000000000e+00
-1.950000000000000642e-05	-1.310434995699945749e-03	0.000000000000000000e+00
-1.940000000000000738e-05	-1.299672851960495621e-03	0.000000000000000000e+00
-1.930000000000000834e-05	-1.288910708221045493e-03	0.000000000000000000e+00
-1.920000000000000930e-05	-1.171999997232226224e-03	0.000000000000000000e+00
-1.910000000000001025e-05	-1.022997999089929159e-03	0.000000000000000000e+00
-1.900000000000001121e-05	-8.739960009476318778e-04	0.000000000000000000e+00
-1.890000000000001217e-05	-7.249940028053345961e-04	0.000000000000000000e+00
-1.880000000000001313e-05	-5.759920046630374229e-04	0.000000000000000000e+00
-1.870000000000001408e-05	-6.423036034965536132e-04	0.000000000000000000e+00
-1.860000000000001504e-05	-7.542581249632202738e-04	0.000000000000000000e+00
-1.850000000000001600e-05	-8.662126464298869344e-04	0.000000000000000000e+00
-1.840000000000001696e-05	-9.781671678965537034e-04	0.000000000000000000e+00
-1.830000000000001791e-05	-1.090121689363220472e-03	0.000000000000000000e+00
-1.820000000000001887e-05	-1.249108673480998910e-03	0.000000000000000000e+00
-1.810000000000001983e-05	-1.414368125766472155e-03	0.000000000000000000e+00
-1.800000000000002078e-05	-1.579627578051945617e-03	0.000000000000000000e+00
-1.790000000000002174e-05	-1.744887030337418862e-03	0.000000000000000000e+00
-1.780000000000002270e-05	-1.910146482622892107e-03	0.000000000000000000e+00
-1.770000000000002366e-05	-1.617900635392616367e-03	0.000000000000000000e+00
-1.760000000000002461e-05	-1.296226155738277458e-03	0.000000000000000000e+00
-1.750000000000002557e-05	-9.745516760839384408e-04	0.000000000000000000e+00
-1.740000000000002653e-05	-6.528771964295996405e-04	0.000000000000000000e+00
-1.730000000000002749e-05	-3.312027167752607318e-04	0.000000000000000000e+00
-1.720000000000002844e-05	-4.684511771563798889e-04	0.000000000000000000e+00
-1.710000000000002940e-05	-6.071743507512186895e-04	0.000000000000000000e+00
-1.700000000000003036e-05	-7.458975243460573817e-04	0.000000000000000000e+00
-1.690000000000003132e-05	-8.846206979408961823e-04	0.000000000000000000e+00
-1.680000000000003227e-05	-1.001310025482007827e-03	0.000000000000000000e+00
-1.670000000000003323e-05	-7.322418501590010438e-04	0.000000000000000000e+00
-1.660000000000003419e-05	-4.631736748359942604e-04	0.000000000000000000e+00
-1.650000000000003515e-05	-1.941054995129875855e-04	0.000000000000000000e+00
-1.640000000000003610e-05	7.496267581001908945e-05	0.000000000000000000e+00
-1.630000000000003706e-05	3.228245869075890818e-04	0.000000000000000000e+00
-1.620000000000003802e-05	4.013002072452151806e-04	0.000000000000000000e+00
-1.610000000000003898e-05	4.797758275828412251e-04	0.000000000000000000e+00
-1.600000000000003993e-05	5.582514479204672697e-04	0.000000000000000000e+00
-1.590000000000004089e-05	6.367270682580933143e-04	0.000000000000000000e+00
-1.580000000000004185e-05	6.864982256193679277e-04	0.000000000000000000e+00
-1.570000000000004281e-05	5.946180071302742268e-04	0.000000000000000000e+00
-1.560000000000004376e-05	5.027377886411805259e-04	0.000000000000000000e+00
-1.550000000000004472e-05	4.108575701520868250e-04	0.000000000000000000e+00
-1.540000000000004568e-05	3.189773516629931783e-04	0.000000000000000000e+00
-1.530000000000004664e-05	2.944065536377794877e-04	0.000000000000000000e+00
-1.520000000000004759e-05	5.007028943034433702e-04	0.000000000000000000e+00
-1.510000000000004855e-05	7.069992349691071442e-04	0.000000000000000000e+00
-1.500000000000004951e-05	9.132955756347711351e-04	0.000000000000000000e+00
-1.490000000000005047e-05	1.119591916300434909e-03	0.000000000000000000e+00
-1.480000000000005142e-05	1.129109003127312747e-03	0.000000000000000000e+00
-1.470000000000005238e-05	6.399887908840443161e-04	0.000000000000000000e+00
-1.460000000000005334e-05	1.508685786407758852e-04	0.000000000000000000e+00
-1.450000000000005430e-05	-3.382516336024924374e-04	0.000000000000000000e+00
-1.440000000000005525e-05	-8.273718458457607599e-04	0.000000000000000000e+00
-1.430000000000005621e-05	-1.190438965888694590e-03	0.000000000000000000e+00
-1.420000000000005717e-05	-1.309033216711081617e-03	0.000000000000000000e+00
-1.410000000000005812e-05	-1.427627467533468643e-03	0.000000000000000000e+00
-1.400000000000005908e-05	-1.546221718355855887e-03	0.000000000000000000e+00
-1.390000000000006004e-05	-1.664815969178242913e-03	0.000000000000000000e+00
-1.380000000000006100e-05	-1.665854390819920513e-03	0.000000000000000000e+00
-1.370000000000006195e-05	-1.488667441968770334e-03	0.000000000000000000e+00
-1.360000000000006291e-05	-1.311480493117619939e-03	0.000000000000000000e+00
-1.350000000000006387e-05	-1.134293544266469760e-03	0.000000000000000000e+00
-1.340000000000006483e-05	-9.571065954153194734e-04	0.000000000000000000e+00
-1.330000000000006578e-05	-7.333295459358262890e-04	0.000000000000000000e+00
-1.320000000000006674e-05	-4.536730882157624179e-04	0.000000000000000000e+00
-1.310000000000006770e-05	-1.740166304956985467e-04	0.000000000000000000e+00
-1.300000000000006866e-05	1.056398272243653244e-04	0.000000000000000000e+00
-1.290000000000006961e-05	3.852962849444293040e-04	0.000000000000000000e+00
-1.280000000000007057e-05	3.351889087963549462e-04	0.000000000000000000e+00
-1.270000000000007153e-05	-2.933973034791438703e-05	0.000000000000000000e+00
-1.260000000000007249e-05	-3.938683694921836119e-04	0.000000000000000000e+00
-1.250000000000007344e-05	-7.583970086364530535e-04	0.000000000000000000e+00
-1.240000000000007440e-05	-1.122925647780722170e-03	0.000000000000000000e+00
-1.230000000000007536e-05	-1.397152481889274607e-03	0.000000000000000000e+00
-1.220000000000007632e-05	-1.603017618288852392e-03	0.000000000000000000e+00
-1.210000000000007727e-05	-1.808882754688430176e-03	0.000000000000000000e+00
-1.200000000000007823e-05	-2.014747891088007961e-03	0.000000000000000000e+00
-1.190000000000007919e-05	-2.220613027487585746e-03	0.000000000000000000e+00
-1.180000000000008015e-05	-2.028006083286765238e-03	0.000000000000000000e+00
-1.170000000000008110e-05	-1.597713657461313861e-03	0.000000000000000000e+00
