ROIid;ROIabbr;ROIname;ROIbaseid;ROIbasename;Voxel;Volume;XYZ
0;BG;Background;[0];Background;1670969;5639.52;-0.35,-16.74,19.89
1;lSupParLo;Left Superior Parietal Lobule;[ 1 66 ];Unk:SUPERIOR-PARIETAL-LOBULE-left.SUPERIOR-PARIETAL-LOBULE-right;   7409;  25.01;-23.50,-52.94,51.76
2;rSupParLo;Right Superior Parietal Lobule;[ 1 66 ];Unk:SUPERIOR-PARIETAL-LOBULE-left.SUPERIOR-PARIETAL-LOBULE-right;   8216;  27.73;23.65,-51.63,51.92
3;lCinGy;Left Cingulate Gyrus;[ 2 67 ];Left/Right:CINGULATE-GYRUS-left.CINGULATE-GYRUS-right;   9861;  33.28;-5.10,-9.98,26.53
4;rCinGy;Right Cingulate Gyrus;[ 2 67 ];Left/Right:CINGULATE-GYRUS-left.CINGULATE-GYRUS-right;   7472;  25.22;8.06,-11.11,27.49
5;lSupFroGy;Left Superior Frontal Gyrus;[ 3 68 ];Left/Right:SUPERIOR-FRONTAL-GYRUS-left.SUPERIOR-FRONTAL-GYRUS-right;  19940;  67.30;-11.57,29.19,37.58
6;rSupFroGy;Right Superior Frontal Gyrus;[ 3 68 ];Left/Right:SUPERIOR-FRONTAL-GYRUS-left.SUPERIOR-FRONTAL-GYRUS-right;  19720;  66.56;13.89,32.41,34.44
7;lMidFroGy;Left Middle Frontal Gyrus;[ 4 69 ];Left/Right:MIDDLE-FRONTAL-GYRUS-left.MIDDLE-FRONTAL-GYRUS-right;  14492;  48.91;-33.58,28.91,26.49
8;rMidFroGy;Right Middle Frontal Gyrus;[ 4 69 ];Left/Right:MIDDLE-FRONTAL-GYRUS-left.MIDDLE-FRONTAL-GYRUS-right;  15261;  51.51;35.81,31.29,26.71
9;lFroGy;Left Frontal Gyrus;[ 5 70 ];Left/Right:INFERIOR-FRONTAL-GYRUS-left.INFERIOR-FRONTAL-GYRUS-right;   7316;  24.69;-41.37,22.97,5.92
10;rFroGy;Right Frontal Gyrus;[ 5 70 ];Left/Right:INFERIOR-FRONTAL-GYRUS-left.INFERIOR-FRONTAL-GYRUS-right;   7983;  26.94;44.08,24.19,6.70
11;lPrcGy;Left Precentral Gyrus;[ 6 71 ];Left/Right:PRECENTRAL-GYRUS-left.PRECENTRAL-GYRUS-right;  12984;  43.82;-33.60,-10.07,42.11
12;rPrcGy;Right Precentral Gyrus;[ 6 71 ];Left/Right:PRECENTRAL-GYRUS-left.PRECENTRAL-GYRUS-right;  10984;  37.07;36.09,-8.66,43.01
13;lPoCGy;Left Postcentral Gyrus;[ 7 72 ];Left/Right:POSTCENTRAL-GYRUS-left.POSTCENTRAL-GYRUS-right;   9810;  33.11;-33.63,-26.11,48.01
14;rPoCGy;Right Postcentral Gyrus;[ 7 72 ];Left/Right:POSTCENTRAL-GYRUS-left.POSTCENTRAL-GYRUS-right;   9724;  32.82;36.89,-23.72,46.92
15;lAngGy;Left Angular Gyrus;[ 8 73 ];Left/Right:ANGULAR-GYRUS-left.ANGULAR-GYRUS-right;   7986;  26.95;-43.19,-55.80,36.45
16;rAngGy;Right Angular Gyrus;[ 8 73 ];Left/Right:ANGULAR-GYRUS-left.ANGULAR-GYRUS-right;   6398;  21.59;42.80,-55.13,38.53
17;lCun;Left Cuneus;[ 9 10 74 75 ];Left/Right:CUNEUS-left.CUNEUS-right.PRE-CUNEUS-left.PRE-CUNEUS-right;  10142;  34.23;-6.72,-66.89,35.06
18;rCun;Right Cuneus;[ 9 10 74 75 ];Left/Right:CUNEUS-left.CUNEUS-right.PRE-CUNEUS-left.PRE-CUNEUS-right;  10651;  35.95;9.40,-69.59,31.12
19;lLinGy;Left Lingual Gyrus;[ 11 76 ];Left/Right:LINGUAL-GYRUS-left.LINGUAL-GYRUS-right;   4970;  16.77;-12.70,-68.69,-4.31
20;rLinGy;Right Lingual Gyrus;[ 11 76 ];Left/Right:LINGUAL-GYRUS-left.LINGUAL-GYRUS-right;   6497;  21.93;14.37,-68.87,-3.84
21;lFusGy;Left Fusiform Gyrus;[ 12 77 ];Left/Right:FUSIFORM-GYRUS-left.FUSIFORM-GYRUS-right;   7138;  24.09;-30.16,-48.23,-20.44
22;rFusGy;Right Fusiform Gyrus;[ 12 77 ];Left/Right:FUSIFORM-GYRUS-left.FUSIFORM-GYRUS-right;   7276;  24.56;33.97,-45.91,-20.51
23;lParHipGy;Left Parahippocampus Gyrus;[ 13 78 ];Left/Right:PARAHIPPOCAMPAL-GYRUS-left.PARAHIPPOCAMPAL-GYRUS-right;    645;   2.18;-19.80,-27.95,-18.22
24;rParHipGy;Right Parahippocampus Gyrus;[ 13 78 ];Left/Right:PARAHIPPOCAMPAL-GYRUS-left.PARAHIPPOCAMPAL-GYRUS-right;    439;   1.48;20.41,-28.49,-15.81
25;lSupOccGy;Left Superior Occipital Gyrus;[ 14 79 ];Left/Right:SUPERIOR-OCCIPITAL-GYRUS-left.SUPERIOR-OCCIPITAL-GYRUS-right;   3005;  10.14;-18.06,-79.14,29.85
26;rSupOccGy;Right Superior Occipital Gyrus;[ 14 79 ];Left/Right:SUPERIOR-OCCIPITAL-GYRUS-left.SUPERIOR-OCCIPITAL-GYRUS-right;   2577;   8.70;22.38,-76.59,29.23
27;lOccGy;Left Occipital Gyrus;[ 15 80 ];Unk:INFERIOR-OCCIPITAL-GYRUS.INFERIOR-OCCIPITAL-GYRUS-right;   3437;  11.60;-39.62,-72.44,-4.77
28;rOccGy;Right Occipital Gyrus;[ 15 80 ];Unk:INFERIOR-OCCIPITAL-GYRUS.INFERIOR-OCCIPITAL-GYRUS-right;   2538;   8.57;42.27,-72.22,-4.30
29;lMidOccGy;Left Middle Occipital Gyrus;[ 16 81 ];Unk:MIDDLE-OCCIPITAL-GYRUS.MIDDLE-OCCIPITAL-GYRUS-right;  10817;  36.51;-25.13,-83.47,12.45
30;rMidOccGy;Right Middle Occipital Gyrus;[ 16 81 ];Unk:MIDDLE-OCCIPITAL-GYRUS.MIDDLE-OCCIPITAL-GYRUS-right;   8855;  29.89;32.51,-79.26,14.73
31;lEnt;Left Entorhinal Area;[ 17 82 ];Unk:ENTORHINAL-AREA.ENTORHINAL-AREA-right;    314;   1.06;-22.68,2.51,-33.97
32;rEnt;Right Entorhinal Area;[ 17 82 ];Unk:ENTORHINAL-AREA.ENTORHINAL-AREA-right;    276;   0.93;23.18,2.84,-35.39
33;lSupTemGy;Left Superior Temporal Gyrus;[ 18 83 ];Unk:SUPERIOR-TEMPORAL-GYRUS.SUPERIOR-TEMPORAL-GYRUS-right;  12876;  43.46;-30.65,-12.87,-6.16
34;rSupTemGy;Right Superior Temporal Gyrus;[ 18 83 ];Unk:SUPERIOR-TEMPORAL-GYRUS.SUPERIOR-TEMPORAL-GYRUS-right;   9164;  30.93;49.89,-13.19,-1.23
35;lTemGy;Left Temporal Gyrus;[ 19 84 ];Unk:INFERIOR-TEMPORAL-GYRUS.INFERIOR-TEMPORAL-GYRUS-right;   6282;  21.20;-32.88,-25.83,-26.73
